company_id,complaint_risk_score,complaint_risk_level,financial_score,financial_level,overall_risk_score,overall_risk_level,early_warning
19,61.06,Medium,68.12,High,64.59,Medium,EARLY WARNING: High financial risk (68.12).
2,68.31,Medium,42.5,Medium,55.4,Medium,No Early Warning
13,73.1,High,25.62,Low,49.36,Medium,EARLY WARNING: High complaint risk (73.10).
17,52.83,Medium,45.62,Medium,49.22,Medium,No Early Warning
15,55.25,Medium,35.62,Low,45.44,Medium,No Early Warning
12,69.29,Medium,20.0,Low,44.64,Medium,No Early Warning
20,62.73,Medium,25.0,Low,43.86,Medium,No Early Warning
10,38.55,Low,39.38,Low,38.97,Low,No Early Warning
14,50.49,Medium,26.88,Low,38.68,Low,No Early Warning
7,58.24,Medium,16.88,Low,37.56,Low,No Early Warning
16,53.33,Medium,18.75,Low,36.04,Low,No Early Warning
4,36.65,Low,33.75,Low,35.2,Low,No Early Warning
1,18.91,Low,45.62,Medium,32.26,Low,No Early Warning
6,43.3,Medium,20.0,Low,31.65,Low,No Early Warning
5,46.11,Medium,16.88,Low,31.49,Low,No Early Warning
11,46.27,Medium,15.0,Low,30.64,Low,No Early Warning
9,41.47,Medium,17.5,Low,29.48,Low,No Early Warning
8,39.02,Low,19.38,Low,29.2,Low,No Early Warning
3,7.1,Low,48.75,Medium,27.92,Low,No Early Warning
18,24.04,Low,5.0,Low,14.52,Low,No Early Warning
