id,name,license_number,sector,status
1,FRA Demo Company 01,FRA-10000,leasing,active
2,FRA Demo Company 02,FRA-10001,factoring,active
3,FRA Demo Company 03,FRA-10002,mortgage_finance,active
4,FRA Demo Company 04,FRA-10003,factoring,active
5,FRA Demo Company 05,FRA-10004,factoring,active
6,FRA Demo Company 06,FRA-10005,insurance,active
7,FRA Demo Company 07,FRA-10006,mortgage_finance,active
8,FRA Demo Company 08,FRA-10007,mortgage_finance,active
9,FRA Demo Company 09,FRA-10008,mortgage_finance,active
10,FRA Demo Company 10,FRA-10009,factoring,active
11,FRA Demo Company 11,FRA-10010,leasing,active
12,FRA Demo Company 12,FRA-10011,mortgage_finance,active
13,FRA Demo Company 13,FRA-10012,factoring,active
14,FRA Demo Company 14,FRA-10013,insurance,active
15,FRA Demo Company 15,FRA-10014,leasing,active
16,FRA Demo Company 16,FRA-10015,insurance,active
17,FRA Demo Company 17,FRA-10016,leasing,active
18,FRA Demo Company 18,FRA-10017,factoring,active
19,FRA Demo Company 19,FRA-10018,consumer_finance,active
20,FRA Demo Company 20,FRA-10019,leasing,active
