id,company_id,period,revenue,net_profit,total_assets,total_liabilities,total_debt,equity,cash,current_assets,current_liabilities
1,1,2024Q1,11794216.19,852460.59,39876783.98,24018740.84,20094923.92,15858043.14,4472316.69,17412679.28,10409195.99
2,1,2024Q2,11847692.69,822109.59,38816164.07,23763085.46,19786316.74,15053078.61,4548943.66,11768247.68,10921750.79
3,1,2024Q3,12313058.08,1086301.02,39403431.6,23944945.7,20735269.6,15458485.9,4587645.51,10227552.42,9527055.82
4,1,2024Q4,12252894.47,1188972.75,39735785.44,25586654.36,20875158.22,14149131.08,4608420.1,12404162.0,15251185.78
5,1,2025Q1,12278766.0,1090621.88,39894077.77,26306972.07,21718194.35,13587105.7,4772316.7,16583525.61,12744231.7
6,1,2025Q2,12346132.81,974409.11,40114388.78,27485685.19,21518992.65,12628703.59,4923852.3,11328040.11,14435605.29
7,1,2025Q3,12348587.9,826255.75,41157309.67,25443792.06,22124845.7,15713517.61,4980393.68,15486486.75,12699734.49
8,1,2025Q4,12252829.58,824461.36,41710840.43,28725847.75,21611606.11,12984992.68,5156413.98,13702229.63,12146612.59
9,1,2026Q1,12254520.59,1042875.87,40200086.11,27460204.02,22494085.08,12739882.08,5325097.39,11017560.74,10287534.77
10,1,2026Q2,12078403.68,650990.9,40124494.59,30630308.09,23156124.46,9494186.5,5404240.19,12748701.67,11689140.14
11,2,2024Q1,17073064.22,1079373.75,35051417.28,24939048.88,17173634.08,10112368.4,3231720.15,11579864.42,13198837.45
12,2,2024Q2,17034166.7,1814197.32,34854996.26,26215660.23,17564009.07,8639336.03,3350640.08,10544140.87,10845440.04
13,2,2024Q3,16967980.33,1241303.62,35313444.49,25893272.34,18347682.43,9420172.15,3312253.46,12829826.42,15259640.84
14,2,2024Q4,16600991.07,1617312.94,35080526.25,21632739.83,18369414.92,13447786.42,3388945.48,14456800.54,12852562.23
15,2,2025Q1,16129944.22,1931836.36,35273444.15,26735287.36,18964384.71,8538156.79,3488774.83,14573720.97,15605380.35
16,2,2025Q2,16382491.23,1517858.46,36636899.48,27516272.24,19632494.36,9120627.23,3455717.49,16259731.69,12845196.83
17,2,2025Q3,15825370.83,1531804.16,36782197.87,27070958.1,20744513.3,9711239.77,3474600.91,9846497.97,9653392.79
18,2,2025Q4,15637718.64,1154780.71,36944743.75,29879936.7,21393225.19,7064807.05,3630078.61,12171387.69,12465168.09
19,2,2026Q1,16227333.13,1441804.99,37245264.0,27414475.44,21313213.45,9830788.56,3723248.88,15164429.53,16089102.27
20,2,2026Q2,15787484.68,1470370.82,37596706.01,27280313.23,21317419.14,10316392.77,3741801.7,9958100.8,16213843.16
21,3,2024Q1,26736092.79,1594631.61,64215315.77,40748143.16,33709418.15,23467172.61,7716310.68,23634205.49,21344632.58
22,3,2024Q2,27739225.57,3103867.18,62299991.3,41152781.28,33508763.71,21147210.03,7648234.91,23103397.05,23455563.17
23,3,2024Q3,27208635.96,2134892.6,61215509.08,46372152.37,32918458.99,14843356.71,7750431.62,18922966.05,24407549.87
24,3,2024Q4,29123306.94,1822321.38,60791394.47,39713106.11,33677097.04,21078288.36,7905481.46,21844530.44,20941685.25
25,3,2025Q1,29664876.47,1992629.21,60155128.07,45823610.04,34541014.85,14331518.03,8358269.6,25420104.79,16953090.93
26,3,2025Q2,29784719.35,2665401.36,61007564.62,41585973.57,36117109.55,19421591.04,8446591.54,15611547.25,16408388.18
27,3,2025Q3,29557838.21,3296813.75,61814953.41,45260100.96,36751134.25,16554852.44,8708814.68,16325390.46,22404185.47
28,3,2025Q4,29337341.84,2768381.19,63020279.55,48323515.62,37500747.16,14696763.93,8582217.82,17381456.78,23274048.16
29,3,2026Q1,28605519.51,3115315.59,63087599.55,49216029.26,37770223.32,13871570.3,8599527.96,16867894.36,25859499.93
30,3,2026Q2,29200302.42,2771036.5,62906441.17,52055258.57,38102526.65,10851182.6,8727547.69,15829100.59,20992029.37
31,4,2024Q1,22513851.24,2358573.47,59886361.17,41881317.74,33483943.15,18005043.43,11851752.15,22896390.8,25123517.27
32,4,2024Q2,23306689.36,3629201.68,59964434.49,42301175.29,32852438.73,17663259.2,11841313.73,19618114.56,22358449.45
33,4,2024Q3,23906033.52,3466628.45,60509151.8,40684180.56,32932178.61,19824971.24,11961387.4,20427453.55,17850133.78
34,4,2024Q4,24605731.99,4084931.29,61012780.26,42366760.46,32836639.69,18646019.8,11847514.97,20702879.8,19675606.71
35,4,2025Q1,25653412.64,4046213.29,62044246.25,40821646.77,32516178.1,21222599.48,11754187.51,24508632.83,15522428.81
36,4,2025Q2,26032353.32,3840029.87,61258971.85,37941463.94,32230127.29,23317507.91,12298587.13,19892437.89,19812724.35
37,4,2025Q3,26196821.54,2635995.38,61167131.66,38368200.45,32618529.56,22798931.21,12445697.74,15324828.05,17578403.75
38,4,2025Q4,28041336.9,3468295.76,60709047.11,46251269.53,32807960.8,14457777.58,12672781.28,22120535.2,22939355.74
39,4,2026Q1,30020728.17,3230341.93,61585992.49,39435339.44,32629736.82,22150653.05,12756293.74,15709609.75,14190900.9
40,4,2026Q2,30377093.65,5367135.74,61494673.56,46375282.68,32857029.96,15119390.88,12567350.59,18063941.34,19048281.67
