company_id,period,financial_score,financial_level,risk_trend,main_financial_risk_factor,financial_risk_explanation
1,2026Q2,45.62,Medium,Rapid Deterioration,Equity Decline,"Main financial risk drivers: weak profitability or declining profit, declining equity."
2,2026Q2,42.5,Medium,Deteriorating,Liquidity,Main financial risk drivers: low liquidity position.
3,2026Q2,48.75,Medium,Deteriorating,Liquidity,"Main financial risk drivers: low liquidity position, high leverage level."
4,2026Q2,33.75,Low,Deteriorating,Liquidity,"Main financial risk drivers: low liquidity position, declining equity."
5,2026Q2,16.88,Low,Deteriorating,Liquidity,No major financial risk drivers detected.
6,2026Q2,20.0,Low,Stable,Liquidity,No major financial risk drivers detected.
7,2026Q2,16.88,Low,Stable,Liquidity,No major financial risk drivers detected.
8,2026Q2,19.38,Low,Improving,Liquidity,No major financial risk drivers detected.
9,2026Q2,17.5,Low,Improving,Liquidity,No major financial risk drivers detected.
10,2026Q2,39.38,Low,Improving,Profitability,Main financial risk drivers: weak profitability or declining profit.
11,2026Q2,15.0,Low,Improving,Profitability,No major financial risk drivers detected.
12,2026Q2,20.0,Low,Improving,Liquidity,No major financial risk drivers detected.
13,2026Q2,25.62,Low,Improving,Liquidity,No major financial risk drivers detected.
14,2026Q2,26.88,Low,Stable,Liquidity,No major financial risk drivers detected.
15,2026Q2,35.62,Low,Stable,Liquidity,"Main financial risk drivers: weak profitability or declining profit, low liquidity position."
16,2026Q2,18.75,Low,Deteriorating,Profitability,No major financial risk drivers detected.
17,2026Q2,45.62,Medium,Deteriorating,Liquidity,"Main financial risk drivers: weak profitability or declining profit, low liquidity position."
18,2026Q2,5.0,Low,Improving,Debt Growth,No major financial risk drivers detected.
19,2026Q2,68.12,High,Deteriorating,Liquidity,"Main financial risk drivers: weak profitability or declining profit, low liquidity position, high leverage level, declining equity."
20,2026Q2,25.0,Low,Deteriorating,Liquidity,No major financial risk drivers detected.
